Firm,U-RW,U-SRW,U-ARIMA-F,U-ARIMA-G,U-ARIMA-BR,M-OLS1,M-OLS2,M-OLS3,U-RIDGE,U-LASSO,U-EN,U-RF,U-NN,M-RIDGE,M-LASSO,M-EN,M-RF,M-NN,IBES
サンケン電気,50.0,58.3,66.7,50.0,58.3,58.3,66.7,100.0,58.3,50.0,50.0,50.0,58.3,75.0,41.7,41.7,33.3,58.3,-
サンゲツ,25.0,25.0,25.0,25.0,33.3,33.3,33.3,83.3,33.3,25.0,33.3,25.0,58.3,33.3,16.7,25.0,25.0,16.7,-
サンコール,33.3,66.7,58.3,41.7,41.7,33.3,33.3,58.3,33.3,50.0,50.0,41.7,33.3,25.0,25.0,25.0,50.0,58.3,-
サンドラッグ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
サンフロンティア不動産,33.3,41.7,50.0,66.7,58.3,100.0,91.7,83.3,91.7,91.7,91.7,41.7,83.3,8.3,41.7,41.7,41.7,50.0,-
サンマルクホールディングス,16.7,33.3,25.0,25.0,25.0,41.7,25.0,33.3,33.3,66.7,66.7,25.0,33.3,16.7,50.0,50.0,25.0,41.7,-
サンワテクノス,41.7,16.7,16.7,16.7,16.7,33.3,16.7,75.0,16.7,16.7,16.7,25.0,8.3,16.7,0.0,0.0,25.0,25.0,-
シキボウ,41.7,41.7,58.3,33.3,33.3,75.0,83.3,91.7,75.0,16.7,16.7,58.3,50.0,100.0,66.7,66.7,50.0,83.3,-
システムリサーチ,33.3,16.7,8.3,0.0,8.3,8.3,16.7,33.3,16.7,8.3,16.7,8.3,8.3,0.0,0.0,0.0,8.3,8.3,-
シスメックス,0.0,0.0,0.0,0.0,0.0,0.0,8.3,16.7,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,0.0
シチズン時計,41.7,50.0,41.7,41.7,33.3,33.3,33.3,91.7,58.3,58.3,41.7,41.7,58.3,25.0,58.3,41.7,25.0,33.3,-
シップヘルスケアホールディング,16.7,0.0,0.0,25.0,8.3,25.0,41.7,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,25.0,0.0,8.3,-
シモジマ,75.0,41.7,33.3,41.7,41.7,58.3,41.7,50.0,58.3,41.7,41.7,58.3,75.0,41.7,8.3,8.3,58.3,50.0,-
シンニッタン,50.0,58.3,66.7,58.3,66.7,66.7,66.7,83.3,75.0,50.0,50.0,41.7,75.0,75.0,50.0,50.0,50.0,58.3,-
シンフォニア　テクノロジー,75.0,33.3,33.3,41.7,33.3,50.0,58.3,66.7,50.0,33.3,41.7,41.7,25.0,16.7,33.3,50.0,41.7,33.3,-
シーティーエス,0.0,8.3,0.0,91.7,75.0,75.0,83.3,50.0,100.0,100.0,100.0,0.0,83.3,0.0,16.7,16.7,16.7,16.7,-
シード,66.7,58.3,58.3,58.3,58.3,58.3,50.0,83.3,50.0,50.0,50.0,41.7,50.0,75.0,41.7,41.7,50.0,58.3,-
ジェコス,0.0,0.0,0.0,0.0,0.0,8.3,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ジャパンフーズ,75.0,25.0,16.7,16.7,25.0,16.7,33.3,83.3,16.7,8.3,8.3,8.3,25.0,16.7,25.0,0.0,16.7,8.3,-
ジーエス・ユアサ　コーポレーシ,33.3,16.7,16.7,16.7,16.7,33.3,41.7,83.3,16.7,16.7,16.7,16.7,25.0,50.0,25.0,33.3,16.7,33.3,-
ジーテクト,25.0,25.0,25.0,25.0,33.3,25.0,50.0,75.0,25.0,25.0,25.0,25.0,33.3,50.0,41.7,41.7,16.7,58.3,-
スクウェア・エニックス・ホール,41.7,41.7,41.7,50.0,33.3,25.0,58.3,58.3,33.3,16.7,16.7,25.0,41.7,33.3,33.3,33.3,25.0,25.0,41.7
スクロール,75.0,50.0,50.0,25.0,33.3,33.3,16.7,83.3,33.3,33.3,33.3,16.7,50.0,16.7,16.7,16.7,0.0,41.7,-
スズキ,33.3,33.3,25.0,16.7,16.7,25.0,16.7,75.0,16.7,16.7,16.7,16.7,16.7,25.0,41.7,41.7,16.7,25.0,25.0
スズケン,41.7,41.7,41.7,25.0,33.3,33.3,33.3,50.0,33.3,33.3,33.3,33.3,25.0,33.3,33.3,33.3,16.7,33.3,-
スズデン,16.7,8.3,8.3,8.3,0.0,8.3,8.3,66.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,-
スタンレー電気,25.0,25.0,25.0,16.7,25.0,33.3,16.7,50.0,25.0,25.0,25.0,16.7,25.0,8.3,8.3,8.3,16.7,16.7,-
スターゼン,33.3,25.0,25.0,25.0,25.0,33.3,41.7,83.3,16.7,25.0,25.0,16.7,16.7,25.0,16.7,16.7,16.7,33.3,-
スターツコーポレーション,0.0,0.0,0.0,0.0,0.0,8.3,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ステラ　ケミファ,16.7,16.7,16.7,8.3,8.3,8.3,8.3,58.3,8.3,8.3,8.3,8.3,8.3,25.0,0.0,0.0,0.0,8.3,-
セイコーエプソン,41.7,50.0,50.0,41.7,33.3,66.7,41.7,75.0,41.7,41.7,41.7,25.0,58.3,41.7,66.7,66.7,41.7,50.0,33.3
セイコーホールディングス,58.3,50.0,33.3,50.0,50.0,58.3,41.7,91.7,25.0,25.0,25.0,33.3,50.0,41.7,41.7,58.3,33.3,41.7,-
セイノーホールディングス,33.3,25.0,33.3,25.0,25.0,33.3,33.3,41.7,25.0,25.0,25.0,16.7,16.7,33.3,41.7,41.7,25.0,33.3,-
セガサミーホールディングス,58.3,58.3,58.3,50.0,50.0,83.3,58.3,91.7,58.3,58.3,58.3,75.0,50.0,66.7,41.7,25.0,33.3,58.3,-
セコム,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
センコーグループホールディング,16.7,0.0,0.0,8.3,8.3,8.3,0.0,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,-
セントケア・ホールディング,25.0,16.7,16.7,83.3,83.3,100.0,100.0,66.7,83.3,83.3,83.3,33.3,100.0,16.7,25.0,25.0,41.7,91.7,-
セントラルスポーツ,16.7,16.7,25.0,33.3,25.0,25.0,25.0,50.0,16.7,16.7,16.7,25.0,16.7,33.3,16.7,8.3,16.7,25.0,-
セントラル硝子,41.7,33.3,33.3,33.3,33.3,58.3,41.7,91.7,41.7,8.3,8.3,33.3,16.7,58.3,25.0,25.0,25.0,33.3,-
セーレン,8.3,8.3,16.7,16.7,16.7,8.3,8.3,50.0,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,16.7,-
ゼビオホールディングス,91.7,50.0,50.0,41.7,50.0,50.0,50.0,75.0,41.7,41.7,41.7,41.7,41.7,66.7,50.0,41.7,33.3,58.3,-
ゼンショーホールディングス,33.3,16.7,16.7,16.7,8.3,33.3,41.7,66.7,16.7,8.3,8.3,16.7,25.0,16.7,8.3,8.3,8.3,33.3,-
ゼンリン,58.3,41.7,50.0,41.7,33.3,33.3,50.0,83.3,41.7,33.3,33.3,33.3,33.3,58.3,33.3,25.0,33.3,41.7,-
ソトー,50.0,25.0,25.0,25.0,50.0,66.7,58.3,83.3,50.0,50.0,50.0,50.0,50.0,33.3,33.3,33.3,50.0,50.0,-
ソニーグループ,33.3,16.7,8.3,8.3,0.0,16.7,8.3,75.0,16.7,8.3,8.3,8.3,16.7,41.7,16.7,16.7,16.7,25.0,16.7
ソネック,16.7,8.3,8.3,16.7,8.3,16.7,8.3,33.3,8.3,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,-
ソフトクリエイトホールディング,16.7,8.3,8.3,8.3,8.3,8.3,8.3,16.7,8.3,8.3,8.3,8.3,25.0,16.7,8.3,0.0,8.3,8.3,-
ソースネクスト,66.7,58.3,66.7,83.3,83.3,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,75.0,100.0,83.3,75.0,91.7,-
ソーダニッカ,25.0,8.3,8.3,8.3,8.3,8.3,8.3,16.7,8.3,8.3,8.3,8.3,8.3,0.0,8.3,0.0,8.3,8.3,-
タイガースポリマー,41.7,50.0,66.7,58.3,50.0,66.7,50.0,83.3,41.7,41.7,41.7,33.3,41.7,33.3,33.3,33.3,25.0,41.7,-
タカノ,75.0,50.0,58.3,50.0,41.7,58.3,66.7,91.7,58.3,50.0,50.0,41.7,66.7,41.7,50.0,41.7,50.0,50.0,-
タカミヤ,16.7,25.0,25.0,33.3,8.3,8.3,16.7,50.0,33.3,33.3,33.3,25.0,41.7,16.7,16.7,16.7,8.3,16.7,-
タカラスタンダード,33.3,33.3,8.3,16.7,8.3,16.7,41.7,83.3,25.0,25.0,25.0,16.7,8.3,0.0,0.0,0.0,8.3,25.0,-
タカラトミー,50.0,41.7,41.7,25.0,8.3,41.7,50.0,58.3,8.3,8.3,8.3,16.7,25.0,25.0,41.7,25.0,16.7,33.3,-
タカラバイオ,16.7,16.7,16.7,50.0,16.7,33.3,66.7,33.3,25.0,25.0,25.0,25.0,50.0,8.3,41.7,41.7,8.3,58.3,-
タカラレーベン,66.7,66.7,58.3,58.3,66.7,58.3,66.7,75.0,58.3,41.7,41.7,50.0,66.7,33.3,25.0,16.7,50.0,66.7,-
タキロンシーアイ,8.3,16.7,16.7,25.0,8.3,33.3,50.0,83.3,16.7,0.0,0.0,0.0,8.3,33.3,0.0,0.0,33.3,25.0,-
タクマ,25.0,8.3,8.3,16.7,8.3,8.3,8.3,41.7,16.7,16.7,16.7,16.7,8.3,16.7,8.3,8.3,16.7,8.3,-
タケエイ,25.0,33.3,33.3,16.7,16.7,16.7,33.3,50.0,16.7,16.7,16.7,16.7,58.3,41.7,16.7,16.7,16.7,25.0,-
タダノ,33.3,50.0,33.3,41.7,33.3,58.3,50.0,83.3,50.0,66.7,66.7,50.0,50.0,33.3,33.3,33.3,58.3,58.3,-
タチエス,66.7,66.7,75.0,58.3,66.7,66.7,75.0,66.7,58.3,75.0,75.0,75.0,66.7,58.3,33.3,33.3,50.0,50.0,-
タツタ電線,16.7,8.3,8.3,16.7,8.3,16.7,16.7,50.0,25.0,25.0,25.0,16.7,25.0,8.3,0.0,8.3,25.0,25.0,-
タナベ経営,33.3,16.7,16.7,16.7,16.7,25.0,16.7,66.7,16.7,8.3,8.3,8.3,25.0,16.7,0.0,0.0,16.7,16.7,-
タムラ製作所,75.0,50.0,58.3,58.3,50.0,58.3,58.3,83.3,41.7,41.7,41.7,41.7,66.7,50.0,41.7,41.7,41.7,66.7,-
ダイオーズ,25.0,41.7,25.0,25.0,16.7,25.0,25.0,50.0,41.7,33.3,33.3,25.0,16.7,33.3,8.3,16.7,25.0,33.3,-
ダイキン工業,0.0,0.0,0.0,0.0,0.0,0.0,8.3,33.3,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,8.3
ダイコク電機,58.3,50.0,50.0,41.7,41.7,66.7,41.7,66.7,41.7,41.7,41.7,41.7,58.3,16.7,8.3,0.0,25.0,33.3,-
ダイジェット工業,33.3,75.0,50.0,50.0,50.0,58.3,66.7,100.0,33.3,25.0,33.3,41.7,33.3,41.7,41.7,25.0,41.7,41.7,-
ダイセル,25.0,50.0,41.7,33.3,41.7,50.0,58.3,50.0,25.0,41.7,25.0,33.3,25.0,41.7,41.7,25.0,33.3,58.3,25.0
ダイダン,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ダイトウボウ,58.3,75.0,75.0,66.7,58.3,75.0,75.0,91.7,66.7,33.3,33.3,75.0,75.0,50.0,50.0,50.0,58.3,83.3,-
ダイドーリミテッド,50.0,58.3,58.3,33.3,41.7,33.3,25.0,91.7,25.0,16.7,8.3,33.3,58.3,41.7,33.3,16.7,8.3,41.7,-
ダイニチ工業,58.3,8.3,8.3,8.3,8.3,8.3,8.3,41.7,8.3,8.3,8.3,8.3,8.3,8.3,0.0,0.0,8.3,16.7,-
ダイニック,16.7,16.7,16.7,25.0,16.7,25.0,41.7,91.7,25.0,8.3,8.3,25.0,25.0,25.0,25.0,25.0,25.0,33.3,-
ダイビル,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ダイフク,0.0,8.3,0.0,0.0,0.0,0.0,8.3,41.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ダイヘン,16.7,0.0,8.3,8.3,8.3,25.0,25.0,75.0,16.7,0.0,0.0,8.3,8.3,33.3,8.3,8.3,8.3,0.0,-
ダスキン,50.0,33.3,33.3,33.3,33.3,33.3,16.7,75.0,33.3,33.3,33.3,25.0,25.0,25.0,16.7,16.7,25.0,25.0,-
チノー,41.7,41.7,33.3,33.3,33.3,33.3,33.3,75.0,41.7,8.3,8.3,33.3,41.7,16.7,16.7,16.7,25.0,16.7,-
ツカモトコーポレーション,100.0,25.0,25.0,25.0,16.7,25.0,33.3,66.7,25.0,25.0,33.3,16.7,25.0,50.0,50.0,50.0,33.3,33.3,-
ツツミ,58.3,41.7,41.7,50.0,41.7,58.3,66.7,91.7,25.0,50.0,50.0,58.3,83.3,50.0,50.0,50.0,58.3,66.7,-
ツムラ,16.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ティアック,83.3,50.0,50.0,33.3,50.0,75.0,41.7,83.3,41.7,25.0,25.0,58.3,75.0,25.0,58.3,58.3,41.7,66.7,-
ティーガイア,0.0,0.0,0.0,75.0,33.3,41.7,75.0,25.0,16.7,16.7,16.7,0.0,83.3,0.0,0.0,0.0,0.0,0.0,-
テイカ,8.3,16.7,16.7,8.3,8.3,16.7,25.0,41.7,16.7,8.3,8.3,16.7,33.3,8.3,25.0,25.0,8.3,16.7,-
テイクアンドギヴ・ニーズ,41.7,41.7,50.0,41.7,33.3,58.3,50.0,83.3,41.7,41.7,41.7,50.0,66.7,16.7,16.7,16.7,33.3,41.7,-
テイ・エス　テック,16.7,25.0,25.0,25.0,25.0,16.7,25.0,58.3,25.0,25.0,16.7,25.0,16.7,8.3,8.3,0.0,16.7,16.7,-
テクノメディカ,33.3,25.0,25.0,83.3,66.7,100.0,83.3,75.0,75.0,75.0,75.0,16.7,100.0,0.0,25.0,25.0,41.7,75.0,-
テルモ,0.0,16.7,16.7,0.0,8.3,25.0,8.3,83.3,8.3,8.3,8.3,0.0,16.7,25.0,8.3,8.3,8.3,16.7,0.0
テレビ朝日ホールディングス,25.0,16.7,33.3,41.7,33.3,66.7,91.7,66.7,75.0,75.0,75.0,25.0,83.3,25.0,16.7,16.7,75.0,66.7,-
テンアライド,66.7,41.7,33.3,25.0,33.3,33.3,33.3,100.0,50.0,50.0,50.0,33.3,41.7,16.7,41.7,8.3,33.3,75.0,-
テーオーシー,0.0,8.3,8.3,25.0,25.0,33.3,58.3,83.3,8.3,0.0,0.0,58.3,83.3,16.7,0.0,0.0,16.7,50.0,-
ディスコ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ディーブイエックス,25.0,16.7,16.7,16.7,16.7,16.7,25.0,66.7,16.7,16.7,16.7,25.0,8.3,25.0,33.3,33.3,16.7,25.0,-
デサント,50.0,66.7,50.0,58.3,50.0,50.0,58.3,75.0,41.7,41.7,41.7,50.0,41.7,41.7,33.3,33.3,66.7,58.3,-
デリカフーズホールディングス,58.3,41.7,41.7,91.7,83.3,75.0,91.7,58.3,100.0,100.0,100.0,50.0,100.0,25.0,75.0,75.0,83.3,91.7,-
デンカ,8.3,0.0,8.3,0.0,8.3,16.7,25.0,91.7,0.0,8.3,8.3,0.0,0.0,8.3,0.0,0.0,0.0,0.0,-
デンソー,25.0,50.0,41.7,33.3,33.3,33.3,41.7,58.3,16.7,16.7,16.7,41.7,41.7,8.3,8.3,8.3,41.7,33.3,25.0
デンヨー,16.7,8.3,8.3,8.3,8.3,0.0,8.3,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
トクヤマ,16.7,16.7,16.7,8.3,25.0,25.0,16.7,100.0,16.7,16.7,16.7,16.7,58.3,41.7,8.3,8.3,8.3,16.7,-
トッパン・フォームズ,33.3,25.0,25.0,16.7,16.7,33.3,25.0,66.7,16.7,16.7,16.7,16.7,50.0,16.7,16.7,16.7,16.7,50.0,-
トナミホールディングス,16.7,8.3,8.3,16.7,8.3,50.0,41.7,100.0,41.7,16.7,16.7,16.7,25.0,16.7,25.0,25.0,25.0,33.3,-
トピー工業,50.0,58.3,41.7,50.0,25.0,66.7,75.0,83.3,58.3,41.7,41.7,58.3,33.3,25.0,50.0,41.7,33.3,41.7,-
トプコン,66.7,50.0,41.7,41.7,41.7,50.0,66.7,50.0,41.7,33.3,41.7,41.7,58.3,25.0,16.7,16.7,50.0,66.7,-
トヨタ自動車,16.7,16.7,16.7,16.7,16.7,33.3,25.0,75.0,16.7,16.7,16.7,16.7,16.7,41.7,16.7,16.7,16.7,16.7,0.0
トランコム,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
トランスコスモス,50.0,16.7,33.3,33.3,33.3,41.7,41.7,91.7,33.3,33.3,33.3,33.3,33.3,16.7,16.7,25.0,58.3,58.3,-
トーエネック,16.7,0.0,8.3,8.3,8.3,25.0,41.7,66.7,16.7,0.0,0.0,8.3,0.0,0.0,8.3,16.7,8.3,0.0,-
トーカイ,0.0,25.0,25.0,16.7,0.0,0.0,8.3,50.0,25.0,16.7,16.7,8.3,16.7,8.3,0.0,0.0,0.0,8.3,-
トーカロ,0.0,25.0,16.7,8.3,0.0,16.7,16.7,58.3,8.3,16.7,16.7,8.3,8.3,8.3,0.0,0.0,0.0,25.0,-
トーメンデバイス,8.3,0.0,0.0,8.3,0.0,8.3,8.3,50.0,8.3,0.0,0.0,0.0,0.0,8.3,8.3,8.3,0.0,8.3,-
トーモク,41.7,16.7,33.3,25.0,33.3,41.7,25.0,91.7,25.0,25.0,25.0,16.7,33.3,33.3,16.7,33.3,25.0,25.0,-
トーヨーカネツ,33.3,25.0,41.7,25.0,33.3,58.3,50.0,91.7,50.0,8.3,8.3,8.3,25.0,58.3,25.0,58.3,33.3,50.0,-
ドウシシャ,33.3,16.7,16.7,16.7,16.7,16.7,16.7,33.3,16.7,16.7,16.7,16.7,8.3,0.0,0.0,0.0,16.7,8.3,-
ナイス,58.3,66.7,66.7,58.3,58.3,83.3,66.7,91.7,75.0,75.0,75.0,58.3,58.3,75.0,75.0,75.0,66.7,66.7,-
ナカバヤシ,25.0,8.3,8.3,8.3,8.3,16.7,8.3,66.7,8.3,0.0,0.0,8.3,8.3,0.0,0.0,0.0,8.3,16.7,-
ナカヨ,50.0,50.0,50.0,66.7,50.0,75.0,58.3,91.7,66.7,66.7,58.3,50.0,50.0,41.7,33.3,33.3,41.7,66.7,-
ナガワ,0.0,0.0,0.0,0.0,8.3,0.0,0.0,16.7,0.0,0.0,0.0,8.3,8.3,0.0,0.0,0.0,8.3,0.0,-
ナック,58.3,25.0,25.0,41.7,25.0,41.7,50.0,83.3,16.7,16.7,16.7,16.7,41.7,66.7,50.0,50.0,8.3,16.7,-
ニコン,50.0,33.3,33.3,41.7,41.7,50.0,33.3,66.7,50.0,41.7,41.7,41.7,41.7,41.7,41.7,41.7,33.3,50.0,25.0
ニチアス,8.3,0.0,0.0,8.3,8.3,0.0,8.3,16.7,8.3,8.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,8.3,-
ニチコン,58.3,66.7,75.0,83.3,83.3,83.3,75.0,83.3,66.7,75.0,75.0,58.3,66.7,83.3,75.0,75.0,83.3,58.3,41.7
ニチハ,0.0,0.0,0.0,0.0,0.0,8.3,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ニチバン,25.0,8.3,16.7,33.3,16.7,33.3,50.0,100.0,25.0,8.3,8.3,33.3,25.0,33.3,25.0,25.0,25.0,33.3,-
ニチモウ,41.7,16.7,41.7,25.0,41.7,50.0,83.3,91.7,75.0,66.7,66.7,58.3,41.7,50.0,50.0,50.0,50.0,58.3,-
ニチレイ,8.3,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ニチレキ,41.7,16.7,16.7,25.0,8.3,33.3,25.0,66.7,25.0,25.0,25.0,16.7,41.7,25.0,16.7,8.3,0.0,41.7,-
ニッカトー,16.7,33.3,33.3,41.7,33.3,25.0,41.7,33.3,33.3,16.7,33.3,25.0,16.7,33.3,25.0,33.3,25.0,33.3,-
ニッコンホールディングス,8.3,8.3,8.3,0.0,8.3,8.3,8.3,8.3,8.3,0.0,0.0,8.3,8.3,0.0,0.0,0.0,0.0,8.3,-
ニッタ,0.0,8.3,0.0,0.0,0.0,8.3,0.0,16.7,0.0,0.0,0.0,0.0,8.3,8.3,0.0,0.0,8.3,16.7,-
ニッパツ,41.7,50.0,33.3,58.3,58.3,50.0,50.0,66.7,50.0,50.0,41.7,50.0,41.7,41.7,41.7,50.0,41.7,41.7,-
ニップン,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ニフコ,0.0,41.7,25.0,16.7,8.3,16.7,33.3,50.0,25.0,25.0,25.0,25.0,8.3,16.7,8.3,8.3,8.3,16.7,8.3
ニプロ,25.0,33.3,41.7,41.7,25.0,25.0,58.3,50.0,33.3,8.3,16.7,25.0,33.3,50.0,8.3,8.3,25.0,33.3,-
ニホンフラッシュ,25.0,25.0,8.3,8.3,8.3,25.0,16.7,58.3,8.3,8.3,8.3,8.3,8.3,8.3,0.0,0.0,8.3,16.7,-
ネツレン,41.7,58.3,33.3,66.7,58.3,58.3,50.0,100.0,50.0,41.7,41.7,66.7,83.3,75.0,58.3,66.7,41.7,58.3,-
ノジマ,8.3,0.0,0.0,16.7,8.3,8.3,8.3,33.3,8.3,0.0,0.0,8.3,0.0,25.0,8.3,8.3,0.0,16.7,-
ノリタケカンパニーリミテド,50.0,41.7,41.7,41.7,41.7,75.0,58.3,83.3,58.3,33.3,33.3,66.7,50.0,83.3,66.7,58.3,58.3,41.7,-
ハイマックス,8.3,16.7,16.7,16.7,8.3,16.7,8.3,41.7,8.3,0.0,0.0,8.3,16.7,0.0,0.0,0.0,8.3,8.3,-
ハウス食品グループ本社,33.3,16.7,16.7,8.3,16.7,16.7,16.7,83.3,8.3,8.3,8.3,16.7,33.3,41.7,8.3,8.3,16.7,16.7,-
ハピネット,41.7,33.3,33.3,33.3,16.7,33.3,33.3,83.3,33.3,25.0,25.0,25.0,33.3,16.7,8.3,16.7,33.3,16.7,-
ハマキョウレックス,0.0,0.0,0.0,0.0,0.0,0.0,8.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ハリマ化成グループ,25.0,25.0,25.0,33.3,25.0,16.7,25.0,58.3,16.7,16.7,16.7,33.3,25.0,25.0,16.7,8.3,25.0,8.3,-
ハークスレイ,25.0,25.0,25.0,16.7,16.7,33.3,41.7,91.7,16.7,16.7,16.7,16.7,25.0,50.0,16.7,25.0,16.7,50.0,-
ハードオフコーポレーション,58.3,41.7,50.0,41.7,50.0,41.7,25.0,91.7,50.0,50.0,50.0,50.0,58.3,16.7,25.0,25.0,33.3,58.3,-
バルカー,8.3,0.0,8.3,8.3,8.3,8.3,16.7,50.0,8.3,8.3,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,-
バローホールディングス,41.7,25.0,33.3,33.3,33.3,25.0,33.3,41.7,33.3,25.0,25.0,33.3,25.0,33.3,25.0,33.3,33.3,33.3,-
バンダイナムコホールディングス,16.7,16.7,16.7,16.7,8.3,16.7,25.0,41.7,16.7,16.7,16.7,16.7,8.3,8.3,8.3,8.3,16.7,16.7,8.3
パスコ,58.3,25.0,33.3,41.7,41.7,50.0,41.7,83.3,41.7,33.3,33.3,33.3,16.7,50.0,41.7,41.7,25.0,41.7,-
パナソニック,33.3,16.7,16.7,41.7,16.7,25.0,25.0,91.7,16.7,16.7,16.7,16.7,33.3,66.7,25.0,50.0,33.3,75.0,8.3
ヒロセ電機,8.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ビオフェルミン製薬,16.7,16.7,8.3,8.3,8.3,16.7,16.7,25.0,16.7,16.7,16.7,16.7,8.3,0.0,0.0,0.0,8.3,16.7,-
ビジネスエンジニアリング,8.3,16.7,16.7,25.0,8.3,16.7,0.0,8.3,8.3,0.0,0.0,0.0,16.7,0.0,0.0,0.0,8.3,8.3,-
ビジネス・ブレークスルー,33.3,50.0,50.0,50.0,41.7,75.0,100.0,91.7,83.3,83.3,83.3,50.0,83.3,58.3,41.7,33.3,41.7,50.0,-
ビーアールホールディングス,33.3,33.3,25.0,33.3,33.3,83.3,58.3,66.7,25.0,25.0,25.0,25.0,33.3,25.0,16.7,8.3,16.7,33.3,-
ビー・エム・エル,16.7,8.3,8.3,16.7,8.3,16.7,16.7,33.3,16.7,16.7,16.7,8.3,8.3,8.3,0.0,0.0,16.7,16.7,-
ピエトロ,33.3,33.3,33.3,33.3,25.0,33.3,16.7,58.3,33.3,25.0,25.0,33.3,50.0,50.0,50.0,50.0,41.7,25.0,-
ピーエス三菱,33.3,33.3,33.3,33.3,33.3,41.7,33.3,66.7,33.3,8.3,8.3,25.0,33.3,8.3,0.0,0.0,8.3,25.0,-
ピーシーデポコーポレーション,16.7,8.3,8.3,100.0,83.3,100.0,75.0,58.3,100.0,100.0,100.0,16.7,66.7,8.3,25.0,25.0,33.3,50.0,-
ピー・シー・エー,16.7,25.0,33.3,16.7,16.7,16.7,8.3,50.0,25.0,0.0,0.0,8.3,16.7,8.3,0.0,0.0,8.3,25.0,-
ファナック,0.0,25.0,8.3,0.0,8.3,8.3,8.3,58.3,8.3,8.3,8.3,8.3,8.3,0.0,0.0,0.0,8.3,16.7,0.0
ファンケル,8.3,8.3,16.7,0.0,0.0,16.7,16.7,75.0,0.0,0.0,0.0,8.3,8.3,41.7,0.0,0.0,8.3,16.7,-
フィールズ,66.7,66.7,50.0,75.0,75.0,83.3,100.0,91.7,91.7,91.7,91.7,58.3,100.0,50.0,66.7,66.7,33.3,75.0,-
フェイス,58.3,75.0,83.3,83.3,83.3,75.0,100.0,91.7,91.7,91.7,91.7,75.0,91.7,83.3,75.0,75.0,50.0,66.7,-
フォスター電機,75.0,83.3,75.0,83.3,75.0,83.3,66.7,91.7,83.3,83.3,83.3,91.7,75.0,83.3,58.3,58.3,75.0,66.7,-
フクシマガリレイ,16.7,8.3,8.3,16.7,8.3,8.3,8.3,25.0,8.3,8.3,8.3,8.3,8.3,0.0,0.0,0.0,8.3,16.7,-
フジシールインターナショナル,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
フジッコ,25.0,16.7,8.3,8.3,8.3,16.7,8.3,16.7,8.3,8.3,8.3,8.3,8.3,8.3,25.0,16.7,8.3,8.3,-
